,label 1,label 2,Dice Score,Hausdorff distance
0,HNC01_006.nii.gz,HNC01_006.nii.gz,0.9165991902834008,41.86884283091664
1,HNC01_026.nii.gz,HNC01_026.nii.gz,0.0,85.65628990331066
2,HNC01_029.nii.gz,HNC01_029.nii.gz,0.9465345512721267,3.1622776601683795
3,HNC01_030.nii.gz,HNC01_030.nii.gz,0.9460545016375208,3.605551275463989
4,HNC01_032.nii.gz,HNC01_032.nii.gz,0.9018354329683681,26.645825188948457
5,HNC01_035.nii.gz,HNC01_035.nii.gz,0.8332170272156315,103.73041983911952
6,HNC01_036.nii.gz,HNC01_036.nii.gz,0.8359522956441624,37.603191353926334
7,HNC01_038.nii.gz,HNC01_038.nii.gz,0.8612788632326821,24.839484696748443
8,HNC01_039.nii.gz,HNC01_039.nii.gz,0.8948666363813356,5.0990195135927845
9,HNC01_043.nii.gz,HNC01_043.nii.gz,0.8029128738621586,65.76473218982953
10,HNC01_058.nii.gz,HNC01_058.nii.gz,0.5002730748225014,285.89683454001374
11,HNC01_069.nii.gz,HNC01_069.nii.gz,0.34549266247379457,11.180339887498949
12,HNC01_073.nii.gz,HNC01_073.nii.gz,0.6510263929618768,3.1622776601683795
13,HNC01_080.nii.gz,HNC01_080.nii.gz,0.8100616016427105,67.49074010558782
14,HNC01_083.nii.gz,HNC01_083.nii.gz,0.8081632653061225,71.39327699440614
15,HNC01_087.nii.gz,HNC01_087.nii.gz,0.7927433938050517,26.720778431774775
16,HNC01_088.nii.gz,HNC01_088.nii.gz,0.6961178045515395,2.23606797749979
17,HNC01_090.nii.gz,HNC01_090.nii.gz,0.8863741339491917,1.4142135623730951
18,HNC01_092.nii.gz,HNC01_092.nii.gz,0.6991150442477876,3.7416573867739413
19,HNC01_098.nii.gz,HNC01_098.nii.gz,0.0,inf
20,HNC01_102.nii.gz,HNC01_102.nii.gz,0.9207338483146067,2.23606797749979
21,HNC01_109.nii.gz,HNC01_109.nii.gz,0.879755715111001,23.259406699226016
22,HNC01_110.nii.gz,HNC01_110.nii.gz,0.7663142173418646,39.1279950930277
23,HNC01_119.nii.gz,HNC01_119.nii.gz,0.9459626020953436,25.475478405713993
24,HNC01_120.nii.gz,HNC01_120.nii.gz,0.826791215343337,4.0
25,HNC01_121.nii.gz,HNC01_121.nii.gz,0.7471973094170403,100.38426171467319
26,HNC01_125.nii.gz,HNC01_125.nii.gz,0.14319979586629242,68.60029154456998
27,HNC01_126.nii.gz,HNC01_126.nii.gz,0.36787886310040957,34.698703145794944
28,HNC01_128.nii.gz,HNC01_128.nii.gz,0.3143939393939394,158.06644172625636
29,HNC01_132.nii.gz,HNC01_132.nii.gz,0.9172595731073627,41.31585652022719
30,HNC01_139.nii.gz,HNC01_139.nii.gz,0.666407465007776,40.22437072223753
31,HNC01_144.nii.gz,HNC01_144.nii.gz,0.47124047124047125,6.6332495807108
32,HNC01_145.nii.gz,HNC01_145.nii.gz,0.8030202087497224,3.0
33,HNC01_160.nii.gz,HNC01_160.nii.gz,0.8614298323036187,6.557438524302
34,HNC01_161.nii.gz,HNC01_161.nii.gz,0.6556233653007847,3.1622776601683795
35,HNC01_163.nii.gz,HNC01_163.nii.gz,0.7776672469534942,41.09744517606904
36,HNC01_164.nii.gz,HNC01_164.nii.gz,0.9234527687296417,1.4142135623730951
37,HNC01_166.nii.gz,HNC01_166.nii.gz,0.8120532078544928,42.05948168962618
38,HNC01_171.nii.gz,HNC01_171.nii.gz,0.3102668475802804,121.97130810153674
39,HNC01_179.nii.gz,HNC01_179.nii.gz,0.8854477253053765,3.1622776601683795
40,HNC01_182.nii.gz,HNC01_182.nii.gz,0.8174603174603174,2.23606797749979
41,HNC01_183.nii.gz,HNC01_183.nii.gz,0.801146835961499,5.196152422706632
42,HNC01_185.nii.gz,HNC01_185.nii.gz,0.8793774319066148,1.4142135623730951
43,HNC01_189.nii.gz,HNC01_189.nii.gz,0.8388136686009027,11.575836902790225
44,HNC01_198.nii.gz,HNC01_198.nii.gz,0.0,202.50925904758034
45,HNC01_201.nii.gz,HNC01_201.nii.gz,0.8967726240674667,41.15823125451335
46,HNC01_205.nii.gz,HNC01_205.nii.gz,0.11055396370582617,108.97247358851683
47,HNC01_211.nii.gz,HNC01_211.nii.gz,0.700522778192681,3.7416573867739413
48,HNC01_212.nii.gz,HNC01_212.nii.gz,0.9036556200888282,2.23606797749979
49,HNC01_214.nii.gz,HNC01_214.nii.gz,0.9159943046986236,70.22819946431775
50,HNC01_218.nii.gz,HNC01_218.nii.gz,0.43833017077798864,33.075670817082454
51,HNC01_225.nii.gz,HNC01_225.nii.gz,0.8712103407755581,23.194827009486403
52,HNC01_227.nii.gz,HNC01_227.nii.gz,0.5344352617079889,5.385164807134504
53,HNC01_249.nii.gz,HNC01_249.nii.gz,0.8618374053436205,37.376463182061514
54,HNC01_268.nii.gz,HNC01_268.nii.gz,0.9089469517022961,1.7320508075688772
55,HNC01_273.nii.gz,HNC01_273.nii.gz,0.9250992122606094,17.916472867168917
56,HNC01_281.nii.gz,HNC01_281.nii.gz,0.7792207792207793,1.7320508075688772
57,HNC01_291.nii.gz,HNC01_291.nii.gz,0.8837233652688341,87.92610533851708
58,HNC01_292.nii.gz,HNC01_292.nii.gz,0.6781573174553431,35.566838487557476
59,HNC01_293.nii.gz,HNC01_293.nii.gz,0.9134152859433458,26.343879744638983
60,HNC01_296.nii.gz,HNC01_296.nii.gz,0.5304952926729432,30.675723300355934
61,HNC01_298.nii.gz,HNC01_298.nii.gz,0.8804922935357717,4.123105625617661
62,HNC01_307.nii.gz,HNC01_307.nii.gz,0.8698069403714564,113.01769772916099
63,HNC01_309.nii.gz,HNC01_309.nii.gz,0.9283266704740148,67.83804242458652
64,HNC01_314.nii.gz,HNC01_314.nii.gz,0.863489838822705,8.306623862918075
65,HNC01_321.nii.gz,HNC01_321.nii.gz,0.922197931401907,48.774993593028796
66,HNC01_327.nii.gz,HNC01_327.nii.gz,0.9225684866031191,25.495097567963924
67,HNC01_330.nii.gz,HNC01_330.nii.gz,0.2962881180029589,37.107950630558946
68,HNC01_334.nii.gz,HNC01_334.nii.gz,0.9367358455075553,4.47213595499958
69,HNC01_338.nii.gz,HNC01_338.nii.gz,0.17911224436696674,55.29014378711634
70,HNC01_341.nii.gz,HNC01_341.nii.gz,0.7466525722339676,5.385164807134504
71,HNC01_349.nii.gz,HNC01_349.nii.gz,0.9108546921270295,45.45327270945405
72,HNC01_351.nii.gz,HNC01_351.nii.gz,0.8453909769380757,16.431676725154983
73,HNC01_354.nii.gz,HNC01_354.nii.gz,0.8741885625965997,3.0
74,HNC01_358.nii.gz,HNC01_358.nii.gz,0.9098198198198199,77.93587107359485
75,HNC01_360.nii.gz,HNC01_360.nii.gz,0.7543762156154488,4.69041575982343
76,HNC01_371.nii.gz,HNC01_371.nii.gz,0.9179184415713824,57.323642591866054
77,HNC01_373.nii.gz,HNC01_373.nii.gz,0.8405797101449275,60.96720429870473
78,HNC01_376.nii.gz,HNC01_376.nii.gz,0.9283611383709519,3.605551275463989
79,HNC01_384.nii.gz,HNC01_384.nii.gz,0.9792141329874864,18.708286933869708
80,HNC01_391.nii.gz,HNC01_391.nii.gz,0.7735700744439821,58.60887304837041
81,HNC01_392.nii.gz,HNC01_392.nii.gz,0.8083872406870399,2.8284271247461903
82,HNC01_396.nii.gz,HNC01_396.nii.gz,0.8263828302216019,27.892651361962706
83,HNC01_406.nii.gz,HNC01_406.nii.gz,0.7973629424011104,2.0
84,HNC01_413.nii.gz,HNC01_413.nii.gz,0.8657534246575342,1.0
85,HNC01_414.nii.gz,HNC01_414.nii.gz,0.9163119865386519,2.23606797749979
86,HNC01_419.nii.gz,HNC01_419.nii.gz,0.9096916299559471,2.23606797749979
87,HNC01_427.nii.gz,HNC01_427.nii.gz,0.3822856021456139,15.524174696260024
88,HNC01_434.nii.gz,HNC01_434.nii.gz,0.8914326596315507,2.23606797749979
89,HNC01_439.nii.gz,HNC01_439.nii.gz,0.9608482871125612,18.35755975068582
90,HNC01_440.nii.gz,HNC01_440.nii.gz,0.8299127152630338,18.973665961010276
91,HNC01_448.nii.gz,HNC01_448.nii.gz,0.4648074369189907,32.7566787083184
92,HNC01_451.nii.gz,HNC01_451.nii.gz,0.9514998052201012,8.0
93,HNC01_452.nii.gz,HNC01_452.nii.gz,0.9424224143709364,5.656854249492381
94,HNC01_458.nii.gz,HNC01_458.nii.gz,0.8371567258461334,60.440052945046304
95,HNC01_460.nii.gz,HNC01_460.nii.gz,0.6069524418852634,37.49666651850535
96,HNC01_463.nii.gz,HNC01_463.nii.gz,0.8852730985196529,34.91418050019218
97,HNC01_464.nii.gz,HNC01_464.nii.gz,0.9760750210395543,14.7648230602334
98,HNC01_468.nii.gz,HNC01_468.nii.gz,0.7848470775558947,24.55605831561735
99,HNC01_469.nii.gz,HNC01_469.nii.gz,0.9384514677990567,22.825424421026653
