,label 1,label 2,Dice Score,Hausdorff distance
0,HNC01_006.nii.gz,HNC01_006.nii.gz,0.8737109313025544,63.94528911499267
1,HNC01_026.nii.gz,HNC01_026.nii.gz,0.0,85.01176389182852
2,HNC01_029.nii.gz,HNC01_029.nii.gz,0.927934233466105,29.46183972531247
3,HNC01_030.nii.gz,HNC01_030.nii.gz,0.9304648578456467,4.58257569495584
4,HNC01_032.nii.gz,HNC01_032.nii.gz,0.8943603247750713,31.416556144810016
5,HNC01_035.nii.gz,HNC01_035.nii.gz,0.7885609978703986,27.147743920996454
6,HNC01_036.nii.gz,HNC01_036.nii.gz,0.799217151498977,63.12685640834652
7,HNC01_038.nii.gz,HNC01_038.nii.gz,0.8257284222100055,31.080540535840107
8,HNC01_039.nii.gz,HNC01_039.nii.gz,0.8565650831943804,11.74734012447073
9,HNC01_043.nii.gz,HNC01_043.nii.gz,0.7911111111111111,65.68104749469211
10,HNC01_058.nii.gz,HNC01_058.nii.gz,0.5049614112458655,11.445523142259598
11,HNC01_069.nii.gz,HNC01_069.nii.gz,0.4049140049140049,7.615773105863909
12,HNC01_073.nii.gz,HNC01_073.nii.gz,0.7354497354497355,3.1622776601683795
13,HNC01_080.nii.gz,HNC01_080.nii.gz,0.8613692013551135,65.55150646628954
14,HNC01_083.nii.gz,HNC01_083.nii.gz,0.8327217785452191,226.95594286116415
15,HNC01_087.nii.gz,HNC01_087.nii.gz,0.7220403825717322,29.086079144497972
16,HNC01_088.nii.gz,HNC01_088.nii.gz,0.29163879598662207,32.155870381627054
17,HNC01_090.nii.gz,HNC01_090.nii.gz,0.890887573964497,2.0
18,HNC01_092.nii.gz,HNC01_092.nii.gz,0.7278431372549019,3.0
19,HNC01_098.nii.gz,HNC01_098.nii.gz,0.313953488372093,4.58257569495584
20,HNC01_102.nii.gz,HNC01_102.nii.gz,0.9084107327141383,2.8284271247461903
21,HNC01_109.nii.gz,HNC01_109.nii.gz,0.8541250831669993,23.2163735324878
22,HNC01_110.nii.gz,HNC01_110.nii.gz,0.7766507078152447,38.948684188300895
23,HNC01_119.nii.gz,HNC01_119.nii.gz,0.9382961536071583,22.02271554554524
24,HNC01_120.nii.gz,HNC01_120.nii.gz,0.8883236434108527,5.385164807134504
25,HNC01_121.nii.gz,HNC01_121.nii.gz,0.7589149649497104,98.47842403288143
26,HNC01_125.nii.gz,HNC01_125.nii.gz,0.25414012738853503,14.560219778561036
27,HNC01_126.nii.gz,HNC01_126.nii.gz,0.26094025199837423,57.3149195236284
28,HNC01_128.nii.gz,HNC01_128.nii.gz,0.4808743169398907,4.123105625617661
29,HNC01_132.nii.gz,HNC01_132.nii.gz,0.9136288998357964,2.0
30,HNC01_139.nii.gz,HNC01_139.nii.gz,0.8391578150760831,30.512292604784715
31,HNC01_144.nii.gz,HNC01_144.nii.gz,0.5772893772893772,4.0
32,HNC01_145.nii.gz,HNC01_145.nii.gz,0.780840488025305,2.8284271247461903
33,HNC01_160.nii.gz,HNC01_160.nii.gz,0.8117539026629935,7.0710678118654755
34,HNC01_161.nii.gz,HNC01_161.nii.gz,0.6916588566073102,3.0
35,HNC01_163.nii.gz,HNC01_163.nii.gz,0.829592684954281,31.796226191169293
36,HNC01_164.nii.gz,HNC01_164.nii.gz,0.9074074074074074,1.4142135623730951
37,HNC01_166.nii.gz,HNC01_166.nii.gz,0.8397921878006542,42.37924020083418
38,HNC01_171.nii.gz,HNC01_171.nii.gz,0.8138925294888598,9.0
39,HNC01_179.nii.gz,HNC01_179.nii.gz,0.8726921217979701,2.449489742783178
40,HNC01_182.nii.gz,HNC01_182.nii.gz,0.8405286343612335,2.0
41,HNC01_183.nii.gz,HNC01_183.nii.gz,0.7687717553455992,29.732137494637012
42,HNC01_185.nii.gz,HNC01_185.nii.gz,0.8782687105500451,1.4142135623730951
43,HNC01_189.nii.gz,HNC01_189.nii.gz,0.8092016238159675,5.830951894845301
44,HNC01_198.nii.gz,HNC01_198.nii.gz,0.0,136.98540068197048
45,HNC01_201.nii.gz,HNC01_201.nii.gz,0.8903151008239825,53.693575034635195
46,HNC01_205.nii.gz,HNC01_205.nii.gz,0.17290799815071659,108.31435731240803
47,HNC01_211.nii.gz,HNC01_211.nii.gz,0.6949404761904762,4.58257569495584
48,HNC01_212.nii.gz,HNC01_212.nii.gz,0.8623919308357348,24.166091947189145
49,HNC01_214.nii.gz,HNC01_214.nii.gz,0.9256396428785427,2.0
50,HNC01_218.nii.gz,HNC01_218.nii.gz,0.36147186147186144,58.966091951222275
51,HNC01_225.nii.gz,HNC01_225.nii.gz,0.865128449096099,3.0
52,HNC01_227.nii.gz,HNC01_227.nii.gz,0.5316995205114544,6.164414002968976
53,HNC01_249.nii.gz,HNC01_249.nii.gz,0.8538493207081104,52.78257288158659
54,HNC01_268.nii.gz,HNC01_268.nii.gz,0.9004629629629629,1.7320508075688772
55,HNC01_273.nii.gz,HNC01_273.nii.gz,0.9046555489378598,17.578395831246947
56,HNC01_281.nii.gz,HNC01_281.nii.gz,0.04603580562659847,50.3189825016365
57,HNC01_291.nii.gz,HNC01_291.nii.gz,0.8795338827358143,89.67719888578144
58,HNC01_292.nii.gz,HNC01_292.nii.gz,0.7383241758241759,3.0
59,HNC01_293.nii.gz,HNC01_293.nii.gz,0.898876404494382,26.343879744638983
60,HNC01_296.nii.gz,HNC01_296.nii.gz,0.49860205032618826,32.17141588429082
61,HNC01_298.nii.gz,HNC01_298.nii.gz,0.8818572656921754,4.123105625617661
62,HNC01_307.nii.gz,HNC01_307.nii.gz,0.8683870173061526,18.894443627691185
63,HNC01_309.nii.gz,HNC01_309.nii.gz,0.9022110023025495,67.83804242458652
64,HNC01_314.nii.gz,HNC01_314.nii.gz,0.8613179710552199,7.0710678118654755
65,HNC01_321.nii.gz,HNC01_321.nii.gz,0.9100011002310485,50.06995106848019
66,HNC01_327.nii.gz,HNC01_327.nii.gz,0.9048047710138405,34.23448553724738
67,HNC01_330.nii.gz,HNC01_330.nii.gz,0.272086939021936,37.107950630558946
68,HNC01_334.nii.gz,HNC01_334.nii.gz,0.9195817735897767,4.47213595499958
69,HNC01_338.nii.gz,HNC01_338.nii.gz,0.035507976045365416,53.1224999411737
70,HNC01_341.nii.gz,HNC01_341.nii.gz,0.8172632300051379,5.0
71,HNC01_349.nii.gz,HNC01_349.nii.gz,0.9216712863155734,1.7320508075688772
72,HNC01_351.nii.gz,HNC01_351.nii.gz,0.9030564206561889,8.366600265340756
73,HNC01_354.nii.gz,HNC01_354.nii.gz,0.8835884656461375,42.05948168962618
74,HNC01_358.nii.gz,HNC01_358.nii.gz,0.9005369245664995,101.96568050084302
75,HNC01_360.nii.gz,HNC01_360.nii.gz,0.8071185157137448,4.58257569495584
76,HNC01_371.nii.gz,HNC01_371.nii.gz,0.9005615109749873,34.38022687534217
77,HNC01_373.nii.gz,HNC01_373.nii.gz,0.8088050314465409,61.97580172938467
78,HNC01_376.nii.gz,HNC01_376.nii.gz,0.9134373721433163,7.211102550927978
79,HNC01_384.nii.gz,HNC01_384.nii.gz,0.95698963047429,2.23606797749979
80,HNC01_391.nii.gz,HNC01_391.nii.gz,0.877108839244394,44.41846462902562
